iteration,removed_column,all_columns,columns_count,current_result,best_result
0,None,"DEPARTMENT, MAJOR, ZYFX, XBMC, ZXWYYZMC, XLMC, XXXSMC, JTDZ, GZZWLBMC, 6_LWMC, 6_FBKW, 10_PIM, 10_QKMC, 10_JSLB, 10_JCRFQ, 10_PM, 11_PIM, 11_HYMC, 11_HYLB, 11_PM, 12_ZZMC, 12_CBS, 12_PM, 13_ZLTM, 13_SQLX, 13_ZLWXZL, 13_PM, 14_KYXMMC, 14_JXMC, 14_FJJG, 14_JXJB, 14_PM, 15_HDMC, 15_HDFS, 15_ZZDW, 15_BRJS, 15_HDQDCG, 16_JXMC, 16_CGLB, 16_CGMC, 16_JXJB, 16_JXDJ, 16_SJDW, 17_HYMC, 17_HYZT, 17_BRJS, 17_ZBDW, 18_XMMC, 18_LHPYGJ, 18_KYYSMC, 18_YJFX, 18_ZYCG, 20_LWMC, 20_QKMC, 20_FQ, 20_HYMC, 21_CGMC, 21_CGCXD, 21_CGCNYYZHQK, 21_QTCGXS, 22_ZLMC, 22_ZLJJ, 22_ZLZHQK, 24_ZZMC, 24_CBSMC, 24_BRSZGZ, 25_HYMC, 25_HYZT, 26_JWGX/KYY/ZZMC, 26_XMMC, 26_YJFX, 27_HDMC, 28_JNMC, 30_BDMC, 30_SJZY, 31_XMMC, 31_XMLY, 31_ZZWCDW, 32_CGMC, 34_ZSXX_BYXX, 34_ZSXX_KSFS, 34_XSGZYJZGW_XSGBJL",82,0.701,0.701
1,34_XSGZYJZGW_XSGBJL,"DEPARTMENT, MAJOR, ZYFX, XBMC, ZXWYYZMC, XLMC, XXXSMC, JTDZ, GZZWLBMC, 6_LWMC, 6_FBKW, 10_PIM, 10_QKMC, 10_JSLB, 10_JCRFQ, 10_PM, 11_PIM, 11_HYMC, 11_HYLB, 11_PM, 12_ZZMC, 12_CBS, 12_PM, 13_ZLTM, 13_SQLX, 13_ZLWXZL, 13_PM, 14_KYXMMC, 14_JXMC, 14_FJJG, 14_JXJB, 14_PM, 15_HDMC, 15_HDFS, 15_ZZDW, 15_BRJS, 15_HDQDCG, 16_JXMC, 16_CGLB, 16_CGMC, 16_JXJB, 16_JXDJ, 16_SJDW, 17_HYMC, 17_HYZT, 17_BRJS, 17_ZBDW, 18_XMMC, 18_LHPYGJ, 18_KYYSMC, 18_YJFX, 18_ZYCG, 20_LWMC, 20_QKMC, 20_FQ, 20_HYMC, 21_CGMC, 21_CGCXD, 21_CGCNYYZHQK, 21_QTCGXS, 22_ZLMC, 22_ZLJJ, 22_ZLZHQK, 24_ZZMC, 24_CBSMC, 24_BRSZGZ, 25_HYMC, 25_HYZT, 26_JWGX/KYY/ZZMC, 26_XMMC, 26_YJFX, 27_HDMC, 28_JNMC, 30_BDMC, 30_SJZY, 31_XMMC, 31_XMLY, 31_ZZWCDW, 32_CGMC, 34_ZSXX_BYXX, 34_ZSXX_KSFS, 34_XSGZYJZGW_XSGBJL",82,0.699,0.701
2,34_ZSXX_KSFS,"DEPARTMENT, MAJOR, ZYFX, XBMC, ZXWYYZMC, XLMC, XXXSMC, JTDZ, GZZWLBMC, 6_LWMC, 6_FBKW, 10_PIM, 10_QKMC, 10_JSLB, 10_JCRFQ, 10_PM, 11_PIM, 11_HYMC, 11_HYLB, 11_PM, 12_ZZMC, 12_CBS, 12_PM, 13_ZLTM, 13_SQLX, 13_ZLWXZL, 13_PM, 14_KYXMMC, 14_JXMC, 14_FJJG, 14_JXJB, 14_PM, 15_HDMC, 15_HDFS, 15_ZZDW, 15_BRJS, 15_HDQDCG, 16_JXMC, 16_CGLB, 16_CGMC, 16_JXJB, 16_JXDJ, 16_SJDW, 17_HYMC, 17_HYZT, 17_BRJS, 17_ZBDW, 18_XMMC, 18_LHPYGJ, 18_KYYSMC, 18_YJFX, 18_ZYCG, 20_LWMC, 20_QKMC, 20_FQ, 20_HYMC, 21_CGMC, 21_CGCXD, 21_CGCNYYZHQK, 21_QTCGXS, 22_ZLMC, 22_ZLJJ, 22_ZLZHQK, 24_ZZMC, 24_CBSMC, 24_BRSZGZ, 25_HYMC, 25_HYZT, 26_JWGX/KYY/ZZMC, 26_XMMC, 26_YJFX, 27_HDMC, 28_JNMC, 30_BDMC, 30_SJZY, 31_XMMC, 31_XMLY, 31_ZZWCDW, 32_CGMC, 34_ZSXX_BYXX, 34_XSGZYJZGW_XSGBJL",81,0.706,0.706
3,34_ZSXX_BYXX,"DEPARTMENT, MAJOR, ZYFX, XBMC, ZXWYYZMC, XLMC, XXXSMC, JTDZ, GZZWLBMC, 6_LWMC, 6_FBKW, 10_PIM, 10_QKMC, 10_JSLB, 10_JCRFQ, 10_PM, 11_PIM, 11_HYMC, 11_HYLB, 11_PM, 12_ZZMC, 12_CBS, 12_PM, 13_ZLTM, 13_SQLX, 13_ZLWXZL, 13_PM, 14_KYXMMC, 14_JXMC, 14_FJJG, 14_JXJB, 14_PM, 15_HDMC, 15_HDFS, 15_ZZDW, 15_BRJS, 15_HDQDCG, 16_JXMC, 16_CGLB, 16_CGMC, 16_JXJB, 16_JXDJ, 16_SJDW, 17_HYMC, 17_HYZT, 17_BRJS, 17_ZBDW, 18_XMMC, 18_LHPYGJ, 18_KYYSMC, 18_YJFX, 18_ZYCG, 20_LWMC, 20_QKMC, 20_FQ, 20_HYMC, 21_CGMC, 21_CGCXD, 21_CGCNYYZHQK, 21_QTCGXS, 22_ZLMC, 22_ZLJJ, 22_ZLZHQK, 24_ZZMC, 24_CBSMC, 24_BRSZGZ, 25_HYMC, 25_HYZT, 26_JWGX/KYY/ZZMC, 26_XMMC, 26_YJFX, 27_HDMC, 28_JNMC, 30_BDMC, 30_SJZY, 31_XMMC, 31_XMLY, 31_ZZWCDW, 32_CGMC, 34_XSGZYJZGW_XSGBJL",80,0.706,0.706
4,32_CGMC,"DEPARTMENT, MAJOR, ZYFX, XBMC, ZXWYYZMC, XLMC, XXXSMC, JTDZ, GZZWLBMC, 6_LWMC, 6_FBKW, 10_PIM, 10_QKMC, 10_JSLB, 10_JCRFQ, 10_PM, 11_PIM, 11_HYMC, 11_HYLB, 11_PM, 12_ZZMC, 12_CBS, 12_PM, 13_ZLTM, 13_SQLX, 13_ZLWXZL, 13_PM, 14_KYXMMC, 14_JXMC, 14_FJJG, 14_JXJB, 14_PM, 15_HDMC, 15_HDFS, 15_ZZDW, 15_BRJS, 15_HDQDCG, 16_JXMC, 16_CGLB, 16_CGMC, 16_JXJB, 16_JXDJ, 16_SJDW, 17_HYMC, 17_HYZT, 17_BRJS, 17_ZBDW, 18_XMMC, 18_LHPYGJ, 18_KYYSMC, 18_YJFX, 18_ZYCG, 20_LWMC, 20_QKMC, 20_FQ, 20_HYMC, 21_CGMC, 21_CGCXD, 21_CGCNYYZHQK, 21_QTCGXS, 22_ZLMC, 22_ZLJJ, 22_ZLZHQK, 24_ZZMC, 24_CBSMC, 24_BRSZGZ, 25_HYMC, 25_HYZT, 26_JWGX/KYY/ZZMC, 26_XMMC, 26_YJFX, 27_HDMC, 28_JNMC, 30_BDMC, 30_SJZY, 31_XMMC, 31_XMLY, 31_ZZWCDW, 34_XSGZYJZGW_XSGBJL",79,0.706,0.706
5,31_ZZWCDW,"DEPARTMENT, MAJOR, ZYFX, XBMC, ZXWYYZMC, XLMC, XXXSMC, JTDZ, GZZWLBMC, 6_LWMC, 6_FBKW, 10_PIM, 10_QKMC, 10_JSLB, 10_JCRFQ, 10_PM, 11_PIM, 11_HYMC, 11_HYLB, 11_PM, 12_ZZMC, 12_CBS, 12_PM, 13_ZLTM, 13_SQLX, 13_ZLWXZL, 13_PM, 14_KYXMMC, 14_JXMC, 14_FJJG, 14_JXJB, 14_PM, 15_HDMC, 15_HDFS, 15_ZZDW, 15_BRJS, 15_HDQDCG, 16_JXMC, 16_CGLB, 16_CGMC, 16_JXJB, 16_JXDJ, 16_SJDW, 17_HYMC, 17_HYZT, 17_BRJS, 17_ZBDW, 18_XMMC, 18_LHPYGJ, 18_KYYSMC, 18_YJFX, 18_ZYCG, 20_LWMC, 20_QKMC, 20_FQ, 20_HYMC, 21_CGMC, 21_CGCXD, 21_CGCNYYZHQK, 21_QTCGXS, 22_ZLMC, 22_ZLJJ, 22_ZLZHQK, 24_ZZMC, 24_CBSMC, 24_BRSZGZ, 25_HYMC, 25_HYZT, 26_JWGX/KYY/ZZMC, 26_XMMC, 26_YJFX, 27_HDMC, 28_JNMC, 30_BDMC, 30_SJZY, 31_XMMC, 31_XMLY, 31_ZZWCDW, 34_XSGZYJZGW_XSGBJL",79,0.701,0.706
6,31_XMLY,"DEPARTMENT, MAJOR, ZYFX, XBMC, ZXWYYZMC, XLMC, XXXSMC, JTDZ, GZZWLBMC, 6_LWMC, 6_FBKW, 10_PIM, 10_QKMC, 10_JSLB, 10_JCRFQ, 10_PM, 11_PIM, 11_HYMC, 11_HYLB, 11_PM, 12_ZZMC, 12_CBS, 12_PM, 13_ZLTM, 13_SQLX, 13_ZLWXZL, 13_PM, 14_KYXMMC, 14_JXMC, 14_FJJG, 14_JXJB, 14_PM, 15_HDMC, 15_HDFS, 15_ZZDW, 15_BRJS, 15_HDQDCG, 16_JXMC, 16_CGLB, 16_CGMC, 16_JXJB, 16_JXDJ, 16_SJDW, 17_HYMC, 17_HYZT, 17_BRJS, 17_ZBDW, 18_XMMC, 18_LHPYGJ, 18_KYYSMC, 18_YJFX, 18_ZYCG, 20_LWMC, 20_QKMC, 20_FQ, 20_HYMC, 21_CGMC, 21_CGCXD, 21_CGCNYYZHQK, 21_QTCGXS, 22_ZLMC, 22_ZLJJ, 22_ZLZHQK, 24_ZZMC, 24_CBSMC, 24_BRSZGZ, 25_HYMC, 25_HYZT, 26_JWGX/KYY/ZZMC, 26_XMMC, 26_YJFX, 27_HDMC, 28_JNMC, 30_BDMC, 30_SJZY, 31_XMMC, 31_XMLY, 31_ZZWCDW, 34_XSGZYJZGW_XSGBJL",79,0.701,0.706
7,31_XMMC,"DEPARTMENT, MAJOR, ZYFX, XBMC, ZXWYYZMC, XLMC, XXXSMC, JTDZ, GZZWLBMC, 6_LWMC, 6_FBKW, 10_PIM, 10_QKMC, 10_JSLB, 10_JCRFQ, 10_PM, 11_PIM, 11_HYMC, 11_HYLB, 11_PM, 12_ZZMC, 12_CBS, 12_PM, 13_ZLTM, 13_SQLX, 13_ZLWXZL, 13_PM, 14_KYXMMC, 14_JXMC, 14_FJJG, 14_JXJB, 14_PM, 15_HDMC, 15_HDFS, 15_ZZDW, 15_BRJS, 15_HDQDCG, 16_JXMC, 16_CGLB, 16_CGMC, 16_JXJB, 16_JXDJ, 16_SJDW, 17_HYMC, 17_HYZT, 17_BRJS, 17_ZBDW, 18_XMMC, 18_LHPYGJ, 18_KYYSMC, 18_YJFX, 18_ZYCG, 20_LWMC, 20_QKMC, 20_FQ, 20_HYMC, 21_CGMC, 21_CGCXD, 21_CGCNYYZHQK, 21_QTCGXS, 22_ZLMC, 22_ZLJJ, 22_ZLZHQK, 24_ZZMC, 24_CBSMC, 24_BRSZGZ, 25_HYMC, 25_HYZT, 26_JWGX/KYY/ZZMC, 26_XMMC, 26_YJFX, 27_HDMC, 28_JNMC, 30_BDMC, 30_SJZY, 31_XMMC, 31_XMLY, 31_ZZWCDW, 34_XSGZYJZGW_XSGBJL",79,0.704,0.706
8,30_SJZY,"DEPARTMENT, MAJOR, ZYFX, XBMC, ZXWYYZMC, XLMC, XXXSMC, JTDZ, GZZWLBMC, 6_LWMC, 6_FBKW, 10_PIM, 10_QKMC, 10_JSLB, 10_JCRFQ, 10_PM, 11_PIM, 11_HYMC, 11_HYLB, 11_PM, 12_ZZMC, 12_CBS, 12_PM, 13_ZLTM, 13_SQLX, 13_ZLWXZL, 13_PM, 14_KYXMMC, 14_JXMC, 14_FJJG, 14_JXJB, 14_PM, 15_HDMC, 15_HDFS, 15_ZZDW, 15_BRJS, 15_HDQDCG, 16_JXMC, 16_CGLB, 16_CGMC, 16_JXJB, 16_JXDJ, 16_SJDW, 17_HYMC, 17_HYZT, 17_BRJS, 17_ZBDW, 18_XMMC, 18_LHPYGJ, 18_KYYSMC, 18_YJFX, 18_ZYCG, 20_LWMC, 20_QKMC, 20_FQ, 20_HYMC, 21_CGMC, 21_CGCXD, 21_CGCNYYZHQK, 21_QTCGXS, 22_ZLMC, 22_ZLJJ, 22_ZLZHQK, 24_ZZMC, 24_CBSMC, 24_BRSZGZ, 25_HYMC, 25_HYZT, 26_JWGX/KYY/ZZMC, 26_XMMC, 26_YJFX, 27_HDMC, 28_JNMC, 30_BDMC, 31_XMMC, 31_XMLY, 31_ZZWCDW, 34_XSGZYJZGW_XSGBJL",78,0.706,0.706
9,30_BDMC,"DEPARTMENT, MAJOR, ZYFX, XBMC, ZXWYYZMC, XLMC, XXXSMC, JTDZ, GZZWLBMC, 6_LWMC, 6_FBKW, 10_PIM, 10_QKMC, 10_JSLB, 10_JCRFQ, 10_PM, 11_PIM, 11_HYMC, 11_HYLB, 11_PM, 12_ZZMC, 12_CBS, 12_PM, 13_ZLTM, 13_SQLX, 13_ZLWXZL, 13_PM, 14_KYXMMC, 14_JXMC, 14_FJJG, 14_JXJB, 14_PM, 15_HDMC, 15_HDFS, 15_ZZDW, 15_BRJS, 15_HDQDCG, 16_JXMC, 16_CGLB, 16_CGMC, 16_JXJB, 16_JXDJ, 16_SJDW, 17_HYMC, 17_HYZT, 17_BRJS, 17_ZBDW, 18_XMMC, 18_LHPYGJ, 18_KYYSMC, 18_YJFX, 18_ZYCG, 20_LWMC, 20_QKMC, 20_FQ, 20_HYMC, 21_CGMC, 21_CGCXD, 21_CGCNYYZHQK, 21_QTCGXS, 22_ZLMC, 22_ZLJJ, 22_ZLZHQK, 24_ZZMC, 24_CBSMC, 24_BRSZGZ, 25_HYMC, 25_HYZT, 26_JWGX/KYY/ZZMC, 26_XMMC, 26_YJFX, 27_HDMC, 28_JNMC, 30_BDMC, 31_XMMC, 31_XMLY, 31_ZZWCDW, 34_XSGZYJZGW_XSGBJL",78,0.705,0.706
